fen,eval
rnb1k1nr/p2p1pbp/4p1p1/6P1/2pP2P1/5P2/PPPN4/R1BQK1NR w KQkq - 1 10,+999
r1q2b1r/p2kn3/4N2p/2pb1p2/4p3/P6P/2PPPPP1/2BQKB1R w - - 1 20,-487
2b1k1nr/3pp2p/1qp3p1/P4p2/8/N7/2PQP1PP/2B1KBNR w Kk - 0 13,+1649
rnb1kbnr/3pp1pp/2p2p2/p7/Q6P/2P5/1P1PKPP1/RNB2BNR w kq - 0 9,+1183
r1b1qb1R/ppppp3/n3k2n/6p1/5N2/2P2PP1/PP1PP3/RNBQKB2 b Q - 4 9,+888
rn1qkbnr/pppbp1pp/3p3B/7B/4p3/3P4/PPP2PPP/RN1QK1NR b KQkq - 1 5,-177
rnbqk1nr/1ppp1ppp/8/p3p3/6P1/7P/PPPKPP2/RNBQ1BNR b kq - 0 5,+296
8/p1n5/8/n4k2/5p2/P7/6K1/8 b - - 3 44,-1308
4kbr1/2p2ppp/4p3/1n6/5n2/5K2/8/8 w - - 0 31,-6211
7r/2k3p1/3bp2p/3p3P/1p6/8/3K4/3b2NB b - - 3 44,-1470
6nb/2p1k3/8/n5r1/4P3/5B2/3K4/8 b - - 1 39,-1224
3k4/6B1/4P3/2N5/5p2/P7/5K2/2R5 w - - 0 44,+2238
2b3n1/p2k4/n7/5p2/p1R5/8/1P4PK/6N1 w - - 1 31,-20
rnbqkbnr/pppp1ppp/8/4p3/8/5P2/PPPPP1PP/RNBQKBNR w KQkq - 0 2,-62
8/5b2/8/2p3k1/2P5/8/3K4/2R2N2 w - - 7 47,+743
8/7Q/5k2/4R3/8/r5K1/1P6/3b2N1 w - - 2 39,+1472
rnbqkb1r/p1pppp2/1p5p/5p2/1P6/3PP3/P1P2PPP/RN1QKBNR w KQkq - 0 6,-38
8/p4pk1/8/8/1bp1r3/4K3/q7/1R6 w - - 0 44,-6841
rnb1kbr1/p1Pp1p1p/4p1pn/7q/1P6/1Q3P1N/P2PP1PP/RNB1KB1R w KQq - 1 9,+636
r2qkbnr/ppp1p1pQ/B7/3p1p2/8/4P3/PPPP1PP1/RNB1K1NR b KQkq - 0 6,-132
